"location_id","location_name","process_id","date","poll","unit","source","country","frequency","aggregation_function","threshold","exceedance_allowed_per_year","organization","standard_id","value","exceedance","year","exceedance_this_year","violation","gadm1_id"
"newport_gbr.4_1_gb","Newport","city_day_mad",2019-01-05,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,30.035375,1,2019,2,TRUE,"gbr.4_1"
"plymouth_gbr.1_1_gb","Plymouth","city_background_day_mad",2019-01-05,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,25.0541666666667,1,2019,1,TRUE,"gbr.1_1"
"plymouth_gbr.1_1_gb","Plymouth","city_day_mad",2019-01-05,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,25.0541666666667,1,2019,2,TRUE,"gbr.1_1"
"swansea_gbr.4_1_gb","Swansea","city_day_mad",2019-01-05,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,25.7916666666667,1,2019,2,TRUE,"gbr.4_1"
"christchurch_gbr.1_1_gb","Christchurch","city_day_mad",2019-01-06,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,25.3333333333333,1,2019,3,TRUE,"gbr.1_1"
"cornwall_gbr.1_1_gb","Cornwall","city_day_mad",2019-01-06,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,29.375,1,2019,2,TRUE,"gbr.1_1"
"plymouth_gbr.1_1_gb","Plymouth","city_background_day_mad",2019-01-06,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,31.7875,1,2019,3,TRUE,"gbr.1_1"
"plymouth_gbr.1_1_gb","Plymouth","city_day_mad",2019-01-06,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,31.7875,1,2019,4,TRUE,"gbr.1_1"
"caerphilly_gbr.4_1_gb","Caerphilly","city_hour_mad",2019-01-09,"no2","µg/m3","aurn","GB","1-hour","mean",200,0,"WHO",16,238.54684,1,2019,1,TRUE,"gbr.4_1"
"caerphilly_gbr.4_1_gb","Caerphilly","city_hour_mad",2019-01-09,"no2","µg/m3","aurn","GB","1-hour","mean",200,18,"UK",34,238.54684,1,2019,1,FALSE,"gbr.4_1"
"central bedfordshire_gbr.1_1_gb","Central Bedfordshire","city_day_mad",2019-01-10,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,25.1458333333333,1,2019,2,TRUE,"gbr.1_1"
"eastbourne_gbr.1_1_gb","Eastbourne","city_background_day_mad",2019-01-10,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,27.3708333333333,1,2019,5,TRUE,"gbr.1_1"
"eastbourne_gbr.1_1_gb","Eastbourne","city_day_mad",2019-01-10,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,27.3708333333333,1,2019,6,TRUE,"gbr.1_1"
"manchester_gbr.1_1_gb","Manchester","city_background_day_mad",2019-01-10,"pm10","µg/m3","aurn","GB","24-hour","mean",50,0,"WHO",13,50.8677083333333,1,2019,1,TRUE,"gbr.1_1"
